,Project,Adaptation,Outcome,Unit,GCM,RCP,yr,Era,Level,Province,ID,Avg,Low,High
1,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,British Columbia,6,41.98337065,35.11269138,82.88750731
2,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,British Columbia,6,46.52546995,36.15927179,141.6083473
3,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,British Columbia,6,123.8414511,40.30675104,514.3272398
4,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,British Columbia,6,296.4716354,46.4491511,822.9995949
5,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,British Columbia,6,33.97622613,27.12625918,40.47083809
6,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,British Columbia,6,35.54196127,28.21608372,42.6812555
7,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,British Columbia,6,42.98885042,32.60504962,52.7032544
8,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,British Columbia,6,48.03996933,36.28988408,62.81068934
9,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2050,2050s,PT,British Columbia,6,726.193,682.7610725,1302.624808
10,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2050,2050s,PT,British Columbia,6,786.5551075,690.2808225,2169.050403
11,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2080,2080s,PT,British Columbia,6,1887.006065,718.0287,6979.208885
12,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2080,2080s,PT,British Columbia,6,4251.215465,777.219875,10379.58612
13,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2020,2020s,PT,British Columbia,6,619.3898516,619.3898516,619.3898516
14,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2020,2020s,PT,British Columbia,6,619.3898516,619.3898516,619.3898516
15,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2020,2020s,PT,British Columbia,6,28.4244199,28.4244199,28.4244199
16,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2020,2020s,PT,British Columbia,6,28.4244199,28.4244199,28.4244199
17,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,New Brunswick,7,35.72358763,24.670435,48.03552356
18,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,New Brunswick,7,39.6393296,25.74981537,56.26429101
19,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,New Brunswick,7,49.46101667,29.25609539,85.71629354
20,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,New Brunswick,7,67.90427252,36.40240829,130.0649548
21,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,New Brunswick,7,14.76118809,9.720937075,19.07559465
22,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,New Brunswick,7,16.53814537,10.18129659,20.28194037
23,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,New Brunswick,7,19.28059753,11.29840188,21.42263422
24,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,New Brunswick,7,20.8527714,15.04237525,24.12513145
25,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2050,2050s,PT,New Brunswick,7,1290.17425,929.3873875,1665.86096
26,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2050,2050s,PT,New Brunswick,7,1413.2833,966.244905,1911.552678
27,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2080,2080s,PT,New Brunswick,7,1704.598415,1080.802925,2770.770055
28,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2080,2080s,PT,New Brunswick,7,2249.56544,1310.67094,3990.290883
29,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2020,2020s,PT,New Brunswick,7,570.6706659,570.6706659,570.6706659
30,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2020,2020s,PT,New Brunswick,7,570.6706659,570.6706659,570.6706659
31,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2020,2020s,PT,New Brunswick,7,14.45616446,14.45616446,14.45616446
32,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2020,2020s,PT,New Brunswick,7,14.45616446,14.45616446,14.45616446
33,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Nova Scotia,2,31.13797414,21.71765339,41.48012163
34,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,Nova Scotia,2,34.86965185,23.51400293,48.82412411
35,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,Nova Scotia,2,43.88643555,26.40689729,79.47963937
36,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,Nova Scotia,2,63.62996197,34.3104989,113.0755038
37,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Nova Scotia,2,13.30802513,8.792523903,16.60302126
38,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,Nova Scotia,2,14.81632747,9.69074111,17.74255514
39,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,Nova Scotia,2,16.64435424,10.75472632,18.69824352
40,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,Nova Scotia,2,18.30316003,14.54090341,21.11727949
41,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2050,2050s,PT,Nova Scotia,2,2131.312,1598.333605,2696.421213
42,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2050,2050s,PT,Nova Scotia,2,2341.241935,1703.191148,3096.611565
43,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2080,2080s,PT,Nova Scotia,2,2816.275285,1859.816798,4719.760345
44,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2080,2080s,PT,Nova Scotia,2,3882.994793,2306.275098,6313.249083
45,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2020,2020s,PT,Nova Scotia,2,921.089653,921.089653,921.089653
46,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2020,2020s,PT,Nova Scotia,2,921.089653,921.089653,921.089653
47,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2020,2020s,PT,Nova Scotia,2,11.42697585,11.42697585,11.42697585
48,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2020,2020s,PT,Nova Scotia,2,11.42697585,11.42697585,11.42697585
49,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Prince Edward Island,8,8.142694566,5.529491343,11.22769304
50,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,Prince Edward Island,8,9.209317702,5.871320207,13.43363669
51,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,Prince Edward Island,8,11.71029051,6.711099686,20.69775427
52,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,Prince Edward Island,8,16.66255856,8.595896535,32.89072063
53,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Prince Edward Island,8,4.030285898,2.64576288,5.261646002
54,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,Prince Edward Island,8,4.598042234,2.838971695,5.837416845
55,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,Prince Edward Island,8,5.253328826,3.126112543,6.12271081
56,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,Prince Edward Island,8,5.980346807,4.239257655,7.024453008
57,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2050,2050s,PT,Prince Edward Island,8,1306.288,972.3573875,1656.772805
58,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2050,2050s,PT,Prince Edward Island,8,1434.542708,1018.657563,1899.940035
59,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2080,2080s,PT,Prince Edward Island,8,1696.520055,1122.881298,2647.145365
60,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2080,2080s,PT,Prince Edward Island,8,2227.070645,1356.86369,3810.955588
61,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2020,2020s,PT,Prince Edward Island,8,610.7970502,610.7970502,610.7970502
62,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2020,2020s,PT,Prince Edward Island,8,610.7970502,610.7970502,610.7970502
63,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2020,2020s,PT,Prince Edward Island,8,3.095806506,3.095806506,3.095806506
64,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2020,2020s,PT,Prince Edward Island,8,3.095806506,3.095806506,3.095806506
65,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Quebec,1,23.30317784,5.066153837,34.57188348
66,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2050,2050s,PT,Quebec,1,26.5645827,12.82500358,41.13813297
67,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2080,2080s,PT,Quebec,1,29.34466015,5.350484984,51.47822069
68,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2080,2080s,PT,Quebec,1,41.89381147,16.07421748,84.94475048
69,Infrastructure,Proactive adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2050,2050s,PT,Quebec,1,10.55873565,2.391410527,15.37467984
