Department custodian,Total properties,Number of properties with flood defenses,Number in 50yr floodplain,Number in 100yr floodplain,Number in 200yr floodplain,Number in 500yr floodplain
Agriculture and Agri-Food Canada,261,28,36,40,46,54
Atomic Energy of Canada Limited,47,2,4,4,4,6
Business Development Bank of Canada,107,51,8,10,17,20
Canada Border Services Agency,123,4,20,22,25,25
Canada Deposit Insurance Corporation,2,2,,,,
Canada Mortgage and Housing Corporation,21,13,2,2,5,5
Canada Post,3067,361,333,366,437,511
Canadian Air Transport Security Authority,11,7,1,1,1,1
Canadian Commercial Corporation,1,1,,,,
Canadian Food Inspection Agency,22,4,5,5,7,7
Canadian Security Intelligence Service,1,,,,,
Canadian Space Agency,4,2,2,2,2,2
Correctional Service of Canada,86,27,2,2,5,11
CIRNAC,279,11,53,55,60,67
Environment and Climate Change Canada,307,29,71,74,81,89
Export Development Canada,23,16,2,2,5,6
Farm Credit Canada,100,19,15,16,19,19
Federal Bridge Corporation Limited,35,3,32,32,32,32
Fisheries and Oceans Canada,5715,191,2675,2739,2822,2929
Freshwater Fish Marketing Corporation,13,2,5,5,7,7
Health Canada,5,5,,,,
Indigenous Services Canada,25,2,5,5,5,5
Infrastructure Canada,30,30,13,16,16,16
"Innovation, Science and Economic Development Canada",17,3,,,,
Library and Archives of Canada,6,1,,,1,2
Museum and heritage,23,7,1,2,2,2
National Capital Commission,1645,736,79,87,292,331
National Defence,745,123,117,127,140,154
National Research Council Canada,118,52,9,10,17,21
Natural Resources Canada,67,9,4,6,8,9
Old Port of Montreal Corporation Inc. (Canada Lands Company),2,2,2,2,2,2
Parc Downsview Park Inc,1,1,,,,
Parks Canada,816,76,172,180,198,209
Port authorities,172,70,71,74,84,102
Public Health Agency of Canada,1,1,,,,
Public Services and Procurement Canada,1887,560,230,263,341,392
Royal Canadian Mint,2,2,,,,
Royal Canadian Mounted Police,930,68,126,138,158,180
The Jacques-Cartier and Champlain Bridges Inc.,11,11,6,6,7,7
Transport Canada,707,84,139,142,156,165
Veterans Affairs Canada,33,7,2,3,3,3
