CSD,PT,CMA,FED,Tvres,Tvcom,Tvall,Inland2020,Inland2020adapt,InlandRCP452050,InlandRCP852050,InlandRCP452080,InlandRCP852080,InlandPercentAdaptedLogic2,InlandValueProtected,InlandRCP452050adapt,InlandRCP852050adapt,InlandRCP452080adapt,InlandRCP852080adapt,CoastalTotalValue,CoastalValuebelow1m,Coastalvaluebelow2m,cRA2020,cRARCP45Low2050,cRARCP45Medium2050,cRARCP45High,cRARCP85Low2050,cRARCP85Medium2050,cRARCP85High2050,cRARCP45Low2070,cRARCP45Medium2070,cRARCP45High,cRARCP85Low2070,cRARCP85Medium2070,cRARCP85High2070,cPRRCP45Low2050,cPRRCP45Medium2050,cPRRCP45High2050,cPRRCP85Low2050,cPRRCP85Medium2050,cPRRCP85High2050,cPRRCP45Low2070,cPRRCP45Medium2070,cPRRCP45High2070,cPRRCP85Low2070,cPRRCP85Medium2070,cPRRCP85High2070,cHHSLR2020,cHHSLRRCP45Low2050,cHHSLRRCP45Medium2050,cHHSLRRCP45High,cHHSLRRCP85Low2050,cHHSLRRCP85Medium2050,cHHSLRRCP85High2050,cHHSLRRCP45Low2070,cHHSLRRCP45Medium2070,cHHSLRRCP45High,cHHSLRRCP85Low2070,cHHSLRRCP85Medium2070,cHHSLRRCP85High2070,cHHSS2020,cHHSSRCP45Low2050,cHHSSRCP45Medium2050,cHHSSRCP45High,cHHSSRCP85Low2050,cHHSSRCP85Medium2050,cHHSSRCP85High2050,cHHSSRCP45Low2070,cHHSSRCP45Medium2070,cHHSSRCP45High,cHHSSRCP85Low2070,cHHSSRCP85Medium2070,cHHSSRCP85High2070,SumofPop2016,JBASumaf100,JBASumaf100M,JBASumaf200,JBASumaf500,JBASumDef,BingCntDBUID
1001101,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,7,18,20,0,107
1001105,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,4285440,1328486.4,5613926.4,2390.28,2390.28,12575.84,13859.39,11149.81,18545.84,0,0,12575.84,13859.39,11149.81,18545.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,33,1,38,43,0,114
1001113,Newfoundland and Labrador,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),Avalon,7692452.5,2384660.28,10077112.78,6190.51,6190.51,32569.79,35894.01,28876.54,48031.29,0,0,32569.79,35894.01,28876.54,48031.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,9,1,11,12,0,258
1001120,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,1267720,392993.2,1660713.2,4.53,4.53,23.83,26.26,21.13,35.14,0,0,23.83,26.26,21.13,35.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,2,2,0,58
1001124,Newfoundland and Labrador,Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),Avalon,73756447.5,22864498.73,96620946.23,69054.32,63560.77,362999.11,399768.97,321931.16,535287.52,0.33,4967803.94,334126.26,367973.03,296323.81,492711.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,184,44,195,219,0,1863
1001126,Newfoundland and Labrador,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),Avalon,28113520,8715191.2,36828711.2,34124.42,34124.42,179530.67,197823.84,159181.64,264754.87,0,0,179530.67,197823.84,159181.64,264754.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,42,21,46,51,0,390
1001131,Newfoundland and Labrador,Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),Avalon,11573030,3587639.3,15160669.3,5518.81,5518.81,29035.8,31999.32,25743.29,42819.65,0,0,29035.8,31999.32,25743.29,42819.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,49,12,55,63,0,294
1001136,Newfoundland and Labrador,Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),Avalon,12582290,3900509.9,16482799.9,16487.95,16487.95,86747.17,95600.98,76910.49,127927.72,0,0,86747.17,95600.98,76910.49,127927.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,50,8,50,54,0,223
1001140,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,6,1,6,7,0,64
1001144,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,2334025,723547.75,3057572.75,446.66,446.66,2350.01,2589.86,2083.53,3465.61,0,0,2350.01,2589.86,2083.53,3465.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,86
1001149,Newfoundland and Labrador,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),Avalon,13865540,4298317.4,18163857.4,6625.41,6625.41,34857.92,38415.68,30905.21,51405.65,0,0,34857.92,38415.68,30905.21,51405.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,39,18,50,54,0,313
1001155,Newfoundland and Labrador,Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),Avalon,23255810,7209301.1,30465111.1,35481.46,35481.46,167156.32,173306.1,150453.15,242561.6,0,0,167156.32,173306.1,150453.15,242561.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,88,16,95,108,0,1070
1001169,Newfoundland and Labrador,Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),Avalon,8458720,2622203.2,11080923.2,16661.37,14995.24,87659.57,96606.51,77719.43,129273.26,1,1108092.32,78893.61,86945.86,69947.49,116345.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,35,2,39,54,0,256
1001174,Newfoundland and Labrador,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),Avalon,4411450,1367549.5,5778999.5,1011.46,1011.46,5318.46,5860.04,4715.01,7842.01,0,0,5318.46,5860.04,4715.01,7842.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,24,0,30,35,0,215
1001178,Newfoundland and Labrador,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),Avalon,8709040,2699802.4,11408842.4,6240.82,6240.82,32491.28,35645.28,28764.82,47785.37,0,0,32491.28,35645.28,28764.82,47785.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,8,0,9,10,0,251
1001181,Newfoundland and Labrador,No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),Avalon,5222357.5,1618930.83,6841288.33,15314.43,13782.99,80572.97,88796.62,71436.41,118822.51,1,684128.83,72515.67,79916.96,64292.77,106940.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18,8,22,25,0,159
