GCM,RCP,Province,Era,disp_heat_deaths,premature_heat_deaths,heat_deaths_total
CCSM4,RCP 4.5,Alberta,2050s,14.16614403,11.59048148,25.75662551
CCSM4,RCP 4.5,Alberta,2080s,22.59082005,18.48339822,41.07421827
CCSM4,RCP 4.5,British Columbia,2050s,20.48975325,16.76434357,37.25409682
CCSM4,RCP 4.5,British Columbia,2080s,33.44390823,27.36319764,60.80710587
CCSM4,RCP 4.5,Manitoba,2050s,6.658333681,5.447727558,12.10606124
CCSM4,RCP 4.5,Manitoba,2080s,9.574873598,7.833987489,17.40886109
CCSM4,RCP 4.5,New Brunswick,2050s,4.335145727,3.546937413,7.88208314
CCSM4,RCP 4.5,New Brunswick,2080s,4.714242782,3.857107731,8.571350512
CCSM4,RCP 4.5,Newfoundland and Labrador,2050s,1.545563532,1.264551981,2.810115513
CCSM4,RCP 4.5,Newfoundland and Labrador,2080s,1.515821658,1.24021772,2.756039378
CCSM4,RCP 4.5,Northwest Territories,2050s,0.022015686,0.018012834,0.04002852
CCSM4,RCP 4.5,Northwest Territories,2080s,0.02821553,0.023085434,0.051300963
CCSM4,RCP 4.5,Nova Scotia,2050s,4.84894684,3.967320142,8.816266982
CCSM4,RCP 4.5,Nova Scotia,2080s,5.325464054,4.357197863,9.682661917
CCSM4,RCP 4.5,Nunavut,2050s,0.000676049,0.000553131,0.001229179
CCSM4,RCP 4.5,Nunavut,2080s,0.000736554,0.000602635,0.001339189
CCSM4,RCP 4.5,Ontario,2050s,63.02036673,51.56211823,114.582485
CCSM4,RCP 4.5,Ontario,2080s,83.1741878,68.0516082,151.225796
CCSM4,RCP 4.5,Prince Edward Island,2050s,0.729954897,0.597235825,1.327190721
CCSM4,RCP 4.5,Prince Edward Island,2080s,1.012642628,0.828525787,1.841168415
CCSM4,RCP 4.5,Quebec,2050s,35.50630458,29.05061284,64.55691742
CCSM4,RCP 4.5,Quebec,2080s,41.38454417,33.86008159,75.24462576
CCSM4,RCP 4.5,Saskatchewan,2050s,7.006372162,5.732486315,12.73885848
CCSM4,RCP 4.5,Saskatchewan,2080s,10.71962519,8.770602432,19.49022763
CCSM4,RCP 4.5,Yukon,2050s,0.018246521,0.014928971,0.033175492
CCSM4,RCP 4.5,Yukon,2080s,0.043047058,0.03522032,0.078267378
CCSM4,RCP 8.5,Alberta,2050s,20.06958069,16.42056602,36.49014671
CCSM4,RCP 8.5,Alberta,2080s,42.83004481,35.04276394,77.87280875
CCSM4,RCP 8.5,British Columbia,2050s,31.58889871,25.84546258,57.43436129
CCSM4,RCP 8.5,British Columbia,2080s,69.61360308,56.95658434,126.5701874
CCSM4,RCP 8.5,Manitoba,2050s,8.946404858,7.319785793,16.26619065
CCSM4,RCP 8.5,Manitoba,2080s,16.67812518,13.64573878,30.32386396
CCSM4,RCP 8.5,New Brunswick,2050s,5.475099821,4.479627126,9.954726948
CCSM4,RCP 8.5,New Brunswick,2080s,9.013157417,7.374401523,16.38755894
CCSM4,RCP 8.5,Newfoundland and Labrador,2050s,2.162105357,1.768995292,3.931100649
CCSM4,RCP 8.5,Newfoundland and Labrador,2080s,3.471183087,2.840058889,6.311241976
CCSM4,RCP 8.5,Northwest Territories,2050s,0.040478875,0.03311908,0.073597955
CCSM4,RCP 8.5,Northwest Territories,2080s,0.082423729,0.067437596,0.149861325
CCSM4,RCP 8.5,Nova Scotia,2050s,6.071395144,4.967505118,11.03890026
CCSM4,RCP 8.5,Nova Scotia,2080s,10.46913925,8.565659385,19.03479863
CCSM4,RCP 8.5,Nunavut,2050s,0.001540097,0.001260079,0.002800176
CCSM4,RCP 8.5,Nunavut,2080s,0.007499702,0.00613612,0.013635821
CCSM4,RCP 8.5,Ontario,2050s,71.5516944,58.54229542,130.0939898
CCSM4,RCP 8.5,Ontario,2080s,143.6219214,117.5088448,261.1307662
CCSM4,RCP 8.5,Prince Edward Island,2050s,0.946577599,0.774472581,1.721050181
CCSM4,RCP 8.5,Prince Edward Island,2080s,1.979974592,1.619979212,3.599953804
CCSM4,RCP 8.5,Quebec,2050s,42.28122777,34.59373181,76.87495957
CCSM4,RCP 8.5,Quebec,2080s,78.66981157,64.36620947,143.036021
CCSM4,RCP 8.5,Saskatchewan,2050s,9.517474348,7.787024467,17.30449881
CCSM4,RCP 8.5,Saskatchewan,2080s,19.02621115,15.56690003,34.59311118
CCSM4,RCP 8.5,Yukon,2050s,0.043100855,0.035264336,0.078365191
CCSM4,RCP 8.5,Yukon,2080s,0.146411847,0.119791511,0.266203357
GFDL-CM3,RCP 4.5,Alberta,2050s,16.91388088,13.83862981,30.75251069
GFDL-CM3,RCP 4.5,Alberta,2080s,33.43968725,27.35974411,60.79943136
GFDL-CM3,RCP 4.5,British Columbia,2050s,32.24644276,26.38345317,58.62989593
GFDL-CM3,RCP 4.5,British Columbia,2080s,52.34055971,42.82409431,95.16465402
GFDL-CM3,RCP 4.5,Manitoba,2050s,8.590864805,7.028889386,15.61975419
GFDL-CM3,RCP 4.5,Manitoba,2080s,13.98949846,11.44595329,25.43545175
GFDL-CM3,RCP 4.5,New Brunswick,2050s,7.479287432,6.119416989,13.59870442
GFDL-CM3,RCP 4.5,New Brunswick,2080s,9.119855716,7.461700132,16.58155585
GFDL-CM3,RCP 4.5,Newfoundland and Labrador,2050s,3.691074323,3.0199699,6.711044223
GFDL-CM3,RCP 4.5,Newfoundland and Labrador,2080s,4.056214433,3.3187209,7.374935333
GFDL-CM3,RCP 4.5,Northwest Territories,2050s,0.049848106,0.040784814,0.09063292
GFDL-CM3,RCP 4.5,Northwest Territories,2080s,0.078990618,0.064628687,0.143619305
GFDL-CM3,RCP 4.5,Nova Scotia,2050s,9.078727138,7.428049477,16.50677661
GFDL-CM3,RCP 4.5,Nova Scotia,2080s,11.27779007,9.227282785,20.50507285
GFDL-CM3,RCP 4.5,Nunavut,2050s,0.006185705,0.005061031,0.011246736
GFDL-CM3,RCP 4.5,Nunavut,2080s,0.014643369,0.011980938,0.026624307
GFDL-CM3,RCP 4.5,Ontario,2050s,100.7604372,82.44035771,183.2007949
GFDL-CM3,RCP 4.5,Ontario,2080s,150.3415227,123.0067004,273.348223
GFDL-CM3,RCP 4.5,Prince Edward Island,2050s,1.367539179,1.118895692,2.486434872
GFDL-CM3,RCP 4.5,Prince Edward Island,2080s,2.019205431,1.652077171,3.671282601
GFDL-CM3,RCP 4.5,Quebec,2050s,63.62512612,52.05692137,115.6820475
GFDL-CM3,RCP 4.5,Quebec,2080s,84.92871065,69.48712689,154.4158375
GFDL-CM3,RCP 4.5,Saskatchewan,2050s,7.97447299,6.52456881,14.4990418
GFDL-CM3,RCP 4.5,Saskatchewan,2080s,14.89277297,12.18499607,27.07776904
GFDL-CM3,RCP 4.5,Yukon,2050s,0.03813732,0.031203262,0.069340583
GFDL-CM3,RCP 4.5,Yukon,2080s,0.094015312,0.076921619,0.17093693
GFDL-CM3,RCP 8.5,Alberta,2050s,22.55510076,18.45417335,41.0092741
