CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,CCSM4,2050s,110.6602792
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,CCSM4,2080s,90.65762762
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,327.6767376
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,341.5838608
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,82.63021091
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,54.74669223
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,270.0181387
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,246.4640325
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,216.1551414
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,289.5114263
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,364.5112461
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,340.1706383
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,82.03932345
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,79.56302248
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,CCSM4,2050s,166.8506137
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,CCSM4,2080s,264.0401182
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,400.2197098
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,516.2391139
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,125.2721125
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,180.8309647
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,341.6100443
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,479.4934232
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,366.7635623
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,532.9656004
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,447.6230849
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,560.6148711
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,171.6902251
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1001,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,280.1257401
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,CCSM4,2050s,7.363501633
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,CCSM4,2080s,6.128416241
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,23.90833409
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,26.49227084
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,6.708221651
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,4.864985724
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,21.62657086
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,20.97871668
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,17.67504613
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,22.38467839
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,25.27377034
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,24.19356998
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,6.04937306
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,6.022819904
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,CCSM4,2050s,11.63848827
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,CCSM4,2080s,20.14437034
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,29.31437673
No metropolitan influenced zone (N.L.) / Aucune zone d'influence métropolitaine (T.-N.-L.),1002,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,41.05222279
